epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,153.062,0.97593,1.32514,1.18628,0.00333,1,0.83,0.78054,0.46343,2.7149,1.08356,0.000503818,0.000503818,0.000503818
55,155.747,0.67504,0.98932,0.96642,0.00333,1,0.83,0.78054,0.46343,2.7149,1.08356,0.000502632,0.000502632,0.000502632
56,158.159,0.68136,1.10808,1.13921,0.00333,1,0.83,0.78054,0.46343,2.7149,1.08356,0.00050105,0.00050105,0.00050105
57,161.192,0.70237,0.97965,0.99703,0.6966,1,0.9125,0.82966,0.47774,2.533,1.12124,0.000499072,0.000499072,0.000499072
58,164.033,0.91958,1.10493,1.14105,0.6966,1,0.9125,0.82966,0.47774,2.533,1.12124,0.000496698,0.000496698,0.000496698
59,166.652,0.98655,1.4757,1.3303,0.6966,1,0.9125,0.82966,0.47774,2.533,1.12124,0.000493928,0.000493928,0.000493928
60,169.168,1.02061,1.57221,1.51012,0.74727,0.98908,0.9125,0.63082,0.69889,2.36886,1.24587,0.000490762,0.000490762,0.000490762
61,171.476,0.80348,1.34158,1.28165,0.74727,0.98908,0.9125,0.63082,0.69889,2.36886,1.24587,0.0004872,0.0004872,0.0004872
62,173.761,1.06087,1.38738,1.29355,0.74727,0.98908,0.9125,0.63082,0.69889,2.36886,1.24587,0.000483242,0.000483242,0.000483242
63,176.165,0.79711,1.08782,1.32141,1,0.96887,0.995,0.79657,0.66303,1.9891,1.21055,0.000478888,0.000478888,0.000478888
64,178.537,0.51322,1.00275,0.97257,1,0.96887,0.995,0.79657,0.66303,1.9891,1.21055,0.000474138,0.000474138,0.000474138
65,180.926,0.83109,1.05198,0.96349,1,0.96887,0.995,0.79657,0.66303,1.9891,1.21055,0.000468992,0.000468992,0.000468992
66,183.167,0.47321,0.81091,0.98438,0.99769,1,0.995,0.81911,0.69296,1.82318,1.2401,0.00046345,0.00046345,0.00046345
67,185.593,0.7486,1.10869,1.21654,0.99769,1,0.995,0.81911,0.69296,1.82318,1.2401,0.000457512,0.000457512,0.000457512
