epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,246.44,0.68488,1.20911,1.23596,1,0.98758,0.995,0.77978,0.68583,3.20884,1.49155,0.000444448,0.000444448,0.000444448
70,249.781,0.75877,0.93494,1.1222,1,0.98758,0.995,0.77978,0.68583,3.20884,1.49155,0.000437322,0.000437322,0.000437322
71,253.102,0.68824,1.33925,1.13277,1,0.98758,0.995,0.77978,0.68583,3.20884,1.49155,0.0004298,0.0004298,0.0004298
72,256.693,0.85717,1.1445,1.27917,0.98153,1,0.995,0.77978,0.75928,3.29496,1.50562,0.000421882,0.000421882,0.000421882
73,260.762,0.68381,1.11471,0.9993,0.98153,1,0.995,0.77978,0.75928,3.29496,1.50562,0.000413568,0.000413568,0.000413568
74,264.171,0.91427,1.35293,1.47097,0.98153,1,0.995,0.77978,0.75928,3.29496,1.50562,0.000404858,0.000404858,0.000404858
75,267.598,0.49833,0.96653,1.00441,0.98774,1,0.995,0.84035,0.63673,3.45333,1.28789,0.000395752,0.000395752,0.000395752
76,270.927,0.68603,1.30804,1.33341,0.98774,1,0.995,0.84035,0.63673,3.45333,1.28789,0.00038625,0.00038625,0.00038625
77,274.232,0.52117,1.01983,1.03897,0.98774,1,0.995,0.84035,0.63673,3.45333,1.28789,0.000376352,0.000376352,0.000376352
78,277.785,0.70457,1.22306,0.99282,0.96659,1,0.995,0.78709,0.61897,3.58919,1.15992,0.000366058,0.000366058,0.000366058
79,281.093,1.02034,1.04092,1.44823,0.96659,1,0.995,0.78709,0.61897,3.58919,1.15992,0.000355368,0.000355368,0.000355368
80,284.394,0.53648,1.02595,1.03112,0.96659,1,0.995,0.78709,0.61897,3.58919,1.15992,0.000344282,0.000344282,0.000344282
81,287.925,0.93464,1.29041,1.32172,0.97455,1,0.995,0.8955,0.51309,3.2826,1.10132,0.0003328,0.0003328,0.0003328
82,291.19,0.64271,1.18137,1.05423,0.97455,1,0.995,0.8955,0.51309,3.2826,1.10132,0.000320922,0.000320922,0.000320922
83,294.926,0.9176,1.16052,1.19517,0.97455,1,0.995,0.8955,0.51309,3.2826,1.10132,0.000308648,0.000308648,0.000308648
84,298.708,0.75773,0.9916,1.14867,0.97195,1,0.995,0.92902,0.40472,3.42539,1.04735,0.000295978,0.000295978,0.000295978
85,302.427,0.62309,1.08845,1.30522,0.97195,1,0.995,0.92902,0.40472,3.42539,1.04735,0.000282912,0.000282912,0.000282912
86,305.996,0.92088,1.05312,1.18537,0.97195,1,0.995,0.92902,0.40472,3.42539,1.04735,0.00026945,0.00026945,0.00026945
