epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1536.79,1.45666,1.26324,1.10129,0.83551,0.69943,0.7922,0.47161,1.45242,1.53748,1.04448,0.000693305,0.000693305,0.000693305
61,1564.87,1.36819,1.18598,1.09441,0.83551,0.69943,0.7922,0.47161,1.45242,1.53748,1.04448,0.000676802,0.000676802,0.000676802
62,1590.37,1.48585,1.16362,1.12114,0.83826,0.68715,0.80504,0.47608,1.45792,1.48423,1.04533,0.000660299,0.000660299,0.000660299
63,1620.67,1.28171,1.13042,1.10165,0.83826,0.68715,0.80504,0.47608,1.45792,1.48423,1.04533,0.000643795,0.000643795,0.000643795
64,1667.09,1.51371,1.07259,1.06741,0.8623,0.71359,0.83683,0.486,1.44066,1.43287,1.03699,0.000627292,0.000627292,0.000627292
65,1693.8,1.32883,1.02292,1.07188,0.8623,0.71359,0.83683,0.486,1.44066,1.43287,1.03699,0.000610789,0.000610789,0.000610789
66,1724.69,1.40221,1.11157,1.09503,0.88697,0.75681,0.85044,0.49209,1.41443,1.362,1.0225,0.000594286,0.000594286,0.000594286
67,1744.61,1.28188,0.93131,1.00552,0.88697,0.75681,0.85044,0.49209,1.41443,1.362,1.0225,0.000577782,0.000577782,0.000577782
68,1778.4,1.33052,1.05836,1.1061,0.89635,0.7686,0.85404,0.49409,1.40728,1.29234,1.01795,0.000561279,0.000561279,0.000561279
69,1803.93,1.32047,1.11355,1.06929,0.89635,0.7686,0.85404,0.49409,1.40728,1.29234,1.01795,0.000544776,0.000544776,0.000544776
70,1836.5,1.31474,0.97693,1.0541,0.84927,0.78926,0.83903,0.49344,1.39862,1.26491,1.01282,0.000528272,0.000528272,0.000528272
71,1865.85,1.24312,1.00777,1.08242,0.84927,0.78926,0.83903,0.49344,1.39862,1.26491,1.01282,0.000511769,0.000511769,0.000511769
72,1891.15,1.45189,1.08203,1.03831,0.85246,0.77588,0.84475,0.49115,1.39708,1.24996,1.02046,0.000495266,0.000495266,0.000495266
73,1914.43,1.28629,1.00564,1.02621,0.85246,0.77588,0.84475,0.49115,1.39708,1.24996,1.02046,0.000478762,0.000478762,0.000478762
74,1939.17,1.47468,1.09299,1.14516,0.84918,0.80235,0.85003,0.49913,1.38222,1.20908,1.01904,0.000462259,0.000462259,0.000462259
75,1973.22,1.70606,1.19336,1.09256,0.84918,0.80235,0.85003,0.49913,1.38222,1.20908,1.01904,0.000445756,0.000445756,0.000445756
76,1996.87,1.18599,0.98298,1.02761,0.83585,0.80568,0.86588,0.52278,1.32866,1.14416,1.00747,0.000429253,0.000429253,0.000429253
77,2021.79,1.15386,1.09385,1.07713,0.83585,0.80568,0.86588,0.52278,1.32866,1.14416,1.00747,0.000412749,0.000412749,0.000412749
78,2048.62,1.41851,1.02121,1.06395,0.85148,0.82977,0.87301,0.53558,1.28559,1.08339,0.98948,0.000396246,0.000396246,0.000396246
79,2072.64,1.37824,1.06435,1.04498,0.85148,0.82977,0.87301,0.53558,1.28559,1.08339,0.98948,0.000379743,0.000379743,0.000379743
80,2103.14,1.356,0.99897,1.09535,0.87051,0.84499,0.87886,0.53713,1.26611,1.03869,0.98077,0.000363239,0.000363239,0.000363239
81,2127.21,1.15855,1.07293,1.03759,0.87051,0.84499,0.87886,0.53713,1.26611,1.03869,0.98077,0.000346736,0.000346736,0.000346736
82,2157.8,1.50037,1.03142,1.07239,0.88843,0.84443,0.89138,0.5507,1.24669,1.01784,0.97371,0.000330233,0.000330233,0.000330233
83,2180.21,1.19707,1.05397,1.04215,0.88843,0.84443,0.89138,0.5507,1.24669,1.01784,0.97371,0.000313729,0.000313729,0.000313729
84,2211.35,1.24486,0.9549,1.03622,0.87548,0.82846,0.88757,0.55884,1.23698,1.00995,0.97069,0.000297226,0.000297226,0.000297226
85,2234.24,1.41326,1.02947,1.05183,0.87548,0.82846,0.88757,0.55884,1.23698,1.00995,0.97069,0.000280723,0.000280723,0.000280723
86,2265.08,1.46271,0.97106,1.0294,0.89234,0.81808,0.89146,0.5617,1.23396,0.99548,0.96985,0.00026422,0.00026422,0.00026422
87,2285.92,1.29549,0.98049,1.03975,0.89234,0.81808,0.89146,0.5617,1.23396,0.99548,0.96985,0.000247716,0.000247716,0.000247716
